ML Model               ,Configuration   ,Accuracy ,F1 Score ,Recall  ,Precision ,ROC_AUC
Gradient Boosting      ,RFECV           ,99.050%  ,99.064%  ,99.407% ,98.724%   ,99.914%
XGBoost                ,Original Data   ,99.000%  ,99.014%  ,99.209% ,98.819%   ,99.914%
XGBoost                ,Normalized Data ,99.000%  ,99.014%  ,99.209% ,98.819%   ,99.914%
XGBoost                ,RFECV           ,98.850%  ,98.869%  ,99.308% ,98.433%   ,99.913%
Gradient Boosting      ,SelectKBest     ,98.850%  ,98.868%  ,99.209% ,98.528%   ,99.921%
Gradient Boosting      ,Original Data   ,98.750%  ,98.769%  ,99.111% ,98.430%   ,99.913%
Gradient Boosting      ,Normalized Data ,98.750%  ,98.769%  ,99.111% ,98.430%   ,99.912%
XGBoost                ,SelectKBest     ,98.750%  ,98.768%  ,99.012% ,98.525%   ,99.903%
CatBoost               ,Original Data   ,98.650%  ,98.672%  ,99.111% ,98.237%   ,99.899%
CatBoost               ,Normalized Data ,98.650%  ,98.672%  ,99.111% ,98.237%   ,99.899%
CatBoost               ,SelectKBest     ,98.650%  ,98.672%  ,99.111% ,98.237%   ,99.896%
Random Forest          ,Original Data   ,98.600%  ,98.618%  ,98.715% ,98.521%   ,99.873%
Random Forest          ,Normalized Data ,98.600%  ,98.618%  ,98.715% ,98.521%   ,99.873%
Random Forest          ,SelectKBest     ,98.500%  ,98.519%  ,98.617% ,98.422%   ,99.871%
CatBoost               ,RFECV           ,98.450%  ,98.477%  ,99.012% ,97.947%   ,99.878%
Random Forest          ,RFECV           ,98.400%  ,98.419%  ,98.419% ,98.419%   ,99.859%
AdaBoost               ,Original Data   ,97.500%  ,97.539%  ,97.925% ,97.157%   ,99.396%
AdaBoost               ,Normalized Data ,97.500%  ,97.539%  ,97.925% ,97.157%   ,99.396%
Support Vector Machine ,RFECV           ,97.300%  ,97.345%  ,97.826% ,96.869%   ,99.550%
Support Vector Machine ,SelectKBest     ,97.250%  ,97.300%  ,97.925% ,96.683%   ,99.547%
Support Vector Machine ,Normalized Data ,97.200%  ,97.252%  ,97.925% ,96.589%   ,99.575%
AdaBoost               ,SelectKBest     ,97.200%  ,97.252%  ,97.925% ,96.589%   ,99.409%
XGBoost                ,PCA             ,97.050%  ,97.092%  ,97.332% ,96.853%   ,99.330%
AdaBoost               ,RFECV           ,97.000%  ,97.056%  ,97.727% ,96.394%   ,99.275%
Gradient Boosting      ,PCA             ,96.900%  ,96.934%  ,96.838% ,97.030%   ,99.299%
CatBoost               ,PCA             ,96.000%  ,96.044%  ,95.949% ,96.139%   ,99.178%
Random Forest          ,PCA             ,95.800%  ,95.817%  ,95.059% ,96.586%   ,98.886%
Support Vector Machine ,PCA             ,94.450%  ,94.551%  ,95.158% ,93.951%   ,98.640%
AdaBoost               ,PCA             ,93.850%  ,93.878%  ,93.182% ,94.584%   ,98.398%
Support Vector Machine ,Original Data   ,87.350%  ,86.550%  ,80.435% ,93.671%   ,95.590%
