iter	Logloss
0	0.5763805549
1	0.4969834291
2	0.4450692033
3	0.4069300055
4	0.3791873327
5	0.3577681914
6	0.3390684606
7	0.3251294875
8	0.3147328739
9	0.3047394222
10	0.296790451
11	0.2901922646
12	0.2840561325
13	0.2792151765
14	0.274727279
15	0.2704963176
16	0.2664195349
17	0.2631436763
18	0.2602712955
19	0.2571441296
20	0.2544024888
21	0.2512460568
22	0.2482167892
23	0.2457641222
24	0.243867658
25	0.2420461032
26	0.239905466
27	0.2384241869
28	0.2361983977
29	0.2348373945
30	0.2332019704
31	0.2319133995
32	0.2306637025
33	0.2291897117
34	0.2278418782
35	0.2268696982
36	0.2256080734
37	0.2241351427
38	0.222745673
39	0.221862465
40	0.2208847676
41	0.2197099863
42	0.2188495449
43	0.2173199074
44	0.2161921469
45	0.2154622647
46	0.214311012
47	0.2136723365
48	0.2125954699
49	0.2117256579
50	0.2106865334
51	0.209967682
52	0.2089580369
53	0.2082634547
54	0.2072552215
55	0.2065530078
56	0.205907874
57	0.2049900176
58	0.2041190201
59	0.2035374669
60	0.2024308399
61	0.2015874474
62	0.2006172808
63	0.2001420209
64	0.1993672556
65	0.1988053386
66	0.1982796945
67	0.1975957496
68	0.1969862082
69	0.1963002469
70	0.1953129639
71	0.1947210577
72	0.1940025863
73	0.1933739936
74	0.1930153
75	0.1925738775
76	0.1917255928
77	0.1910186207
78	0.1903696865
79	0.1898403953
80	0.18949124
81	0.1885230553
82	0.1876738751
83	0.1869396395
84	0.1863130026
85	0.1856211131
86	0.1850817348
87	0.1846890978
88	0.1842868289
89	0.1838482786
90	0.1830704485
91	0.1824728343
92	0.1821025843
93	0.1816500688
94	0.1809861677
95	0.1803669235
96	0.1796958414
97	0.1793555981
98	0.1786270679
99	0.1781250307
100	0.1775918364
101	0.1772878884
102	0.1767956081
103	0.1762287976
104	0.1758853354
105	0.1753925018
106	0.1748891863
107	0.1741414118
108	0.1737760631
109	0.1733960005
110	0.1729651561
111	0.1723539001
112	0.1717829572
113	0.1714160839
114	0.1707364235
115	0.1703463462
116	0.169817003
117	0.1694747527
118	0.1689296262
119	0.168633418
120	0.168237633
121	0.167677411
122	0.1671614929
123	0.1668857764
124	0.166463003
125	0.1661916954
126	0.1658666686
127	0.1653118193
128	0.1649337591
129	0.1646741267
130	0.1641665891
131	0.1637945777
132	0.1633270313
133	0.1627403911
134	0.1623046444
135	0.161887785
136	0.1616085721
137	0.1612859239
138	0.1609392093
139	0.1606435436
140	0.1601877846
141	0.1598459549
142	0.1592836261
143	0.1590172166
144	0.1584544279
145	0.157933518
146	0.1575253461
147	0.1572798389
148	0.157005901
149	0.1567408908
150	0.1562061024
151	0.1558786134
152	0.1554702565
153	0.1549367125
154	0.1546165282
155	0.1544464322
156	0.1542155401
157	0.1536521299
158	0.1534290435
159	0.1529283833
160	0.1526181611
161	0.1521625542
162	0.1515934867
163	0.1510784181
164	0.1506485741
165	0.1503945571
166	0.1499875838
167	0.1497352395
168	0.1493550101
169	0.148938163
170	0.1486719553
171	0.1482783427
172	0.1479652538
173	0.1475115699
174	0.1469462116
175	0.1466648313
176	0.1463430165
177	0.1459124512
178	0.1456230004
179	0.1453353763
180	0.1450260814
181	0.1446828585
182	0.1442112653
183	0.1439064762
184	0.143445927
185	0.1432508476
186	0.1429141877
187	0.142515001
188	0.1421222388
189	0.1417735238
190	0.1414124291
191	0.1410738738
192	0.1408257359
193	0.1403556597
194	0.13995318
195	0.1396282713
196	0.1392907955
197	0.1391387269
198	0.1387746485
199	0.1385605404
200	0.1382112814
201	0.1378666787
202	0.1375258897
203	0.1372589157
204	0.1370349867
205	0.1367821729
206	0.1365434314
207	0.1362402599
208	0.1359897126
209	0.1355689467
210	0.1353022031
211	0.1349211084
212	0.1347118086
213	0.134445367
214	0.1341827908
215	0.1338791853
216	0.1336239979
217	0.1334285575
218	0.1332561475
219	0.1328661316
220	0.1324825661
221	0.1321813158
222	0.1318816067
223	0.1315954546
224	0.1311551675
225	0.1309896938
226	0.1307539139
227	0.1304662013
228	0.1302822851
229	0.1301579585
230	0.1299691678
231	0.1297748427
232	0.1294970858
