iter	Passed	Remaining
0	19	7736
1	38	7655
2	59	7809
3	85	8442
4	103	8214
5	124	8190
6	144	8108
7	165	8130
8	190	8290
9	212	8272
10	230	8157
11	251	8120
12	271	8076
13	290	8019
14	312	8022
15	333	8001
16	353	7964
17	376	7995
18	398	7992
19	427	8126
20	453	8186
21	475	8163
22	497	8162
23	532	8339
24	559	8388
25	581	8367
26	604	8354
27	624	8297
28	643	8230
29	662	8175
30	687	8188
31	724	8332
32	747	8316
33	772	8317
34	801	8358
35	828	8378
36	853	8369
37	875	8338
38	901	8343
39	923	8314
40	946	8287
41	980	8354
42	1002	8321
43	1023	8280
44	1043	8232
45	1067	8216
46	1089	8181
47	1110	8140
48	1129	8094
49	1154	8083
50	1176	8051
51	1198	8021
52	1219	7984
53	1241	7952
54	1266	7944
55	1287	7906
56	1308	7871
57	1329	7840
58	1355	7832
59	1394	7904
60	1427	7931
61	1451	7911
62	1473	7881
63	1495	7851
64	1525	7862
65	1548	7835
66	1573	7819
67	1609	7858
68	1634	7838
69	1659	7822
70	1688	7824
71	1713	7805
72	1735	7773
73	1758	7745
74	1787	7746
75	1811	7722
76	1834	7695
77	1878	7753
78	1915	7785
79	1939	7757
80	1959	7718
81	1990	7717
82	2012	7684
83	2031	7643
84	2064	7649
85	2088	7623
86	2110	7592
87	2131	7555
88	2167	7574
89	2190	7546
90	2214	7519
91	2247	7524
92	2270	7496
93	2292	7463
94	2316	7438
95	2339	7407
96	2365	7388
97	2392	7373
98	2413	7338
99	2443	7329
100	2464	7296
101	2485	7261
102	2508	7234
103	2530	7202
104	2555	7179
105	2581	7159
106	2606	7136
107	2628	7107
108	2654	7086
109	2678	7062
110	2701	7033
111	2730	7022
112	2752	6991
113	2774	6960
114	2797	6932
115	2818	6901
116	2840	6870
117	2861	6837
118	2888	6820
119	2914	6799
120	2933	6763
121	2961	6748
122	2984	6720
123	3006	6691
124	3027	6659
125	3055	6645
126	3077	6615
127	3099	6585
128	3120	6555
