ML Model               ,Configuration           ,Accuracy ,F1 Score ,Recall  ,Precision ,ROC_AUC
Support Vector Machine ,Original Data           ,96.608%  ,97.037%  ,97.849% ,96.238%   ,98.889%
Support Vector Machine ,Normalized Data         ,96.427%  ,96.879%  ,97.689% ,96.081%   ,99.174%
Support Vector Machine ,After SMOTE             ,96.472%  ,96.919%  ,97.769% ,96.085%   ,99.037%
Support Vector Machine ,SMOTE and Normalization ,96.472%  ,96.917%  ,97.689% ,96.157%   ,99.173%
Support Vector Machine ,SelectKBest             ,96.517%  ,96.953%  ,97.610% ,96.305%   ,99.180%
Support Vector Machine ,RFECV                   ,96.382%  ,96.830%  ,97.371% ,96.296%   ,99.207%
Support Vector Machine ,PCA                     ,96.156%  ,96.628%  ,97.052% ,96.209%   ,99.218%
Random Forest          ,Original Data           ,96.563%  ,96.989%  ,97.530% ,96.454%   ,99.112%
Random Forest          ,Normalized Data         ,96.563%  ,96.989%  ,97.530% ,96.454%   ,99.112%
Random Forest          ,After SMOTE             ,97.015%  ,97.391%  ,98.167% ,96.627%   ,99.661%
Random Forest          ,SMOTE and Normalization ,97.015%  ,97.391%  ,98.167% ,96.627%   ,99.661%
Random Forest          ,SelectKBest             ,97.015%  ,97.391%  ,98.167% ,96.627%   ,99.661%
Random Forest          ,RFECV                   ,96.834%  ,97.233%  ,98.008% ,96.471%   ,99.647%
Random Forest          ,PCA                     ,95.975%  ,96.475%  ,97.052% ,95.906%   ,99.241%
Gradient Boosting      ,Original Data           ,97.105%  ,97.480%  ,98.645% ,96.342%   ,99.636%
Gradient Boosting      ,Normalized Data         ,97.286%  ,97.634%  ,98.645% ,96.643%   ,99.660%
Gradient Boosting      ,After SMOTE             ,97.060%  ,97.434%  ,98.327% ,96.557%   ,99.647%
Gradient Boosting      ,SMOTE and Normalization ,96.744%  ,97.154%  ,97.928% ,96.392%   ,99.655%
Gradient Boosting      ,SelectKBest             ,97.060%  ,97.432%  ,98.247% ,96.630%   ,99.609%
Gradient Boosting      ,RFECV                   ,96.382%  ,96.853%  ,98.088% ,95.649%   ,99.542%
Gradient Boosting      ,PCA                     ,95.794%  ,96.334%  ,97.371% ,95.320%   ,99.247%
CatBoost               ,Original Data           ,97.151%  ,97.515%  ,98.486% ,96.562%   ,99.624%
CatBoost               ,Normalized Data         ,97.151%  ,97.515%  ,98.486% ,96.562%   ,99.624%
CatBoost               ,After SMOTE             ,97.241%  ,97.594%  ,98.566% ,96.641%   ,99.657%
CatBoost               ,SMOTE and Normalization ,97.241%  ,97.594%  ,98.566% ,96.641%   ,99.657%
CatBoost               ,SelectKBest             ,97.241%  ,97.594%  ,98.566% ,96.641%   ,99.657%
CatBoost               ,RFECV                   ,97.196%  ,97.551%  ,98.406% ,96.711%   ,99.620%
CatBoost               ,PCA                     ,96.246%  ,96.721%  ,97.530% ,95.925%   ,99.415%
AdaBoost               ,Original Data           ,93.397%  ,94.220%  ,94.821% ,93.627%   ,98.582%
AdaBoost               ,Normalized Data         ,93.397%  ,94.220%  ,94.821% ,93.627%   ,98.582%
AdaBoost               ,After SMOTE             ,93.216%  ,94.033%  ,94.183% ,93.884%   ,98.568%
AdaBoost               ,SMOTE and Normalization ,93.216%  ,94.033%  ,94.183% ,93.884%   ,98.568%
AdaBoost               ,SelectKBest             ,93.216%  ,94.033%  ,94.183% ,93.884%   ,98.568%
AdaBoost               ,RFECV                   ,93.487%  ,94.290%  ,94.741% ,93.844%   ,98.537%
AdaBoost               ,PCA                     ,93.804%  ,94.544%  ,94.582% ,94.506%   ,98.364%
