iter	Passed	Remaining
0	17	6824
1	24	4862
2	30	4002
3	34	3461
4	39	3103
5	43	2877
6	47	2691
7	52	2553
8	56	2452
9	60	2370
10	65	2300
11	69	2238
12	73	2186
13	77	2138
14	82	2104
15	86	2065
16	90	2038
17	94	2011
18	98	1983
19	102	1955
20	107	1935
21	111	1912
22	116	1910
23	120	1894
24	126	1897
25	130	1880
26	134	1861
27	138	1844
28	143	1836
29	147	1822
30	151	1806
31	156	1797
32	160	1789
33	165	1781
34	170	1777
35	174	1769
36	179	1761
37	185	1764
38	191	1770
39	199	1794
40	206	1806
41	211	1804
42	216	1799
43	221	1793
44	226	1787
45	231	1779
46	235	1771
47	240	1764
48	245	1757
49	250	1750
50	254	1744
51	259	1738
52	264	1733
53	269	1727
54	274	1724
55	279	1716
56	284	1710
57	289	1707
58	294	1701
59	299	1697
60	304	1693
61	309	1688
62	315	1687
63	321	1687
64	326	1683
65	331	1679
66	336	1674
67	341	1666
68	346	1663
69	351	1657
70	356	1654
71	362	1649
72	367	1647
73	372	1641
74	377	1637
75	382	1632
76	387	1626
77	392	1621
78	398	1618
79	403	1614
80	409	1613
81	415	1609
82	420	1606
83	425	1601
84	431	1598
85	437	1596
86	442	1591
87	446	1583
88	452	1581
89	458	1580
90	464	1577
91	469	1572
92	475	1568
93	478	1558
94	483	1553
95	489	1550
96	494	1544
97	499	1540
98	504	1534
99	509	1529
100	514	1521
101	519	1517
102	524	1511
103	528	1505
104	533	1498
105	537	1491
106	543	1487
107	548	1482
108	552	1476
109	557	1470
110	562	1463
111	566	1457
112	571	1451
113	576	1445
114	581	1440
115	586	1435
116	591	1430
117	596	1424
118	601	1419
119	605	1413
120	610	1407
121	615	1402
122	620	1396
123	625	1391
124	629	1385
125	634	1379
126	638	1373
127	643	1367
128	648	1362
129	653	1357
130	658	1352
131	662	1345
132	667	1339
133	672	1334
134	676	1328
135	681	1323
136	686	1317
137	691	1313
138	696	1307
139	701	1302
140	706	1297
141	710	1291
142	715	1285
143	719	1279
144	724	1274
145	729	1269
146	734	1264
147	739	1259
148	744	1253
149	748	1247
150	753	1242
151	758	1237
152	763	1232
153	768	1227
154	773	1222
155	777	1216
156	782	1211
157	787	1205
158	792	1200
159	797	1195
160	802	1190
161	807	1185
162	811	1180
163	816	1174
164	821	1169
165	826	1164
166	831	1159
167	835	1153
168	840	1149
169	845	1144
170	851	1139
171	856	1135
172	862	1131
173	866	1126
174	871	1120
175	876	1115
176	881	1110
177	885	1104
178	890	1099
179	895	1094
180	900	1089
181	905	1084
182	910	1079
183	915	1074
184	919	1069
185	924	1063
186	929	1058
187	934	1053
188	938	1048
189	943	1042
190	948	1038
191	953	1033
192	958	1027
193	962	1022
194	967	1017
195	972	1012
196	978	1007
197	982	1002
198	987	997
199	993	993
200	998	988
201	1003	983
202	1008	978
203	1013	973
204	1021	971
205	1026	967
206	1031	962
207	1036	956
208	1041	951
209	1047	947
210	1052	942
211	1057	937
212	1062	932
213	1067	928
214	1073	923
215	1078	918
216	1084	914
217	1089	909
218	1094	904
219	1100	900
220	1107	896
221	1113	892
222	1119	888
223	1124	883
224	1130	879
225	1137	875
226	1143	871
227	1149	867
228	1155	862
229	1160	858
230	1166	853
231	1171	848
232	1181	846
233	1188	842
234	1200	843
235	1219	847
236	1228	844
237	1271	865
238	1305	879
239	1325	883
240	1334	880
241	1343	876
242	1349	872
243	1356	867
244	1363	862
245	1371	858
246	1378	854
247	1386	849
248	1393	845
249	1401	840
250	1407	835
251	1413	830
252	1420	825
253	1426	819
254	1432	814
255	1439	809
256	1445	804
257	1452	799
258	1459	794
259	1465	788
260	1471	783
261	1477	778
262	1484	773
263	1490	768
264	1497	762
265	1503	757
266	1509	751
267	1516	746
268	1523	741
269	1529	736
270	1536	731
271	1542	725
272	1548	720
273	1555	715
274	1562	710
275	1568	704
276	1575	699
277	1581	694
278	1587	688
279	1594	683
280	1601	678
281	1607	672
282	1614	667
283	1621	662
284	1628	656
285	1634	651
286	1642	646
287	1649	641
288	1656	636
289	1664	631
290	1671	625
291	1677	620
292	1684	615
293	1690	609
294	1696	604
295	1702	598
296	1711	593
297	1717	587
298	1724	582
299	1730	576
300	1737	571
301	1744	566
302	1751	560
303	1757	555
304	1763	549
305	1770	543
306	1776	538
307	1782	532
308	1788	526
309	1794	521
310	1801	515
311	1808	510
312	1815	504
313	1821	498
314	1827	493
315	1834	487
316	1840	482
317	1846	476
318	1852	470
319	1858	464
320	1865	459
321	1871	453
322	1876	447
323	1883	441
324	1890	436
325	1896	430
326	1902	424
327	1909	419
328	1915	413
329	1922	407
330	1928	401
331	1934	396
332	1941	390
333	1947	384
334	1953	379
335	1959	373
336	1966	367
337	1972	361
338	1978	356
339	1984	350
340	1991	344
341	1997	338
342	2004	333
343	2010	327
344	2017	321
345	2023	315
346	2029	310
347	2035	304
348	2041	298
349	2048	292
350	2054	286
351	2060	280
352	2066	275
353	2073	269
354	2079	263
355	2085	257
356	2093	252
357	2100	246
358	2108	240
359	2115	235
360	2122	229
361	2129	223
362	2136	217
363	2142	211
364	2149	206
365	2155	200
366	2162	194
367	2169	188
368	2176	182
369	2183	177
370	2189	171
371	2195	165
372	2201	159
373	2208	153
374	2214	147
375	2221	141
376	2228	135
377	2234	130
378	2241	124
379	2247	118
380	2253	112
381	2260	106
382	2266	100
383	2272	94
384	2278	88
385	2284	82
386	2290	76
387	2297	71
388	2303	65
389	2309	59
390	2315	53
391	2321	47
392	2328	41
393	2334	35
394	2340	29
395	2346	23
396	2352	17
397	2358	11
398	2364	5
399	2371	0
